,z_mean_inferred,z_std_inferred
0,1.1873482,0.04731822
1,0.81218797,0.0418522
2,0.2716407,0.039372314
3,0.25091594,0.035636492
4,1.0147293,0.03377993
5,1.3026543,0.030912908
6,0.22231856,0.034057412
7,0.37539274,0.040412404
8,0.4626978,0.044705283
9,0.08308226,0.04767938
10,0.15392616,0.032369666
11,0.01643801,0.051794216
12,0.39717004,0.04612332
13,-0.022252964,0.042138193
14,0.29027796,0.050595246
15,0.14845665,0.04050811
16,1.8372775,0.039685026
17,1.6272593,0.04435103
18,2.5980814,0.039984014
19,-0.008141514,0.031722683
20,-0.015921555,0.06233383
21,-0.13901818,0.04202115
22,-0.043488618,0.049709197
23,0.5030963,0.035686415
24,0.21582693,0.031928
25,0.77850455,0.08059466
26,0.68887246,0.0867173
27,0.5250869,0.04940596
28,0.19144055,0.04884745
29,-0.036194023,0.039165426
30,0.85339004,0.035817888
31,0.39992404,0.042350635
32,0.058419812,0.044713493
33,0.62824523,0.04069435
34,0.043316305,0.03693785
35,0.28703257,0.04160111
36,0.6413837,0.03215405
37,0.33435163,0.04436506
38,1.6079938,0.20239304
39,1.2824337,0.26956818
40,0.9783681,0.039311685
41,0.050538596,0.037796833
42,0.12691826,0.047401786
43,0.77249885,0.037583996
44,0.32328632,0.029300416
45,0.2997085,0.035187062
46,0.16512246,0.037363872
47,-0.16253048,0.036767576
48,-0.1276765,0.039034855
49,0.09339259,0.03575923
50,0.06377851,0.038933273
51,0.124071404,0.040912017
52,-0.096401244,0.055927813
53,0.041290395,0.035813056
54,-0.25537354,0.0809153
55,-0.02422899,0.03573691
56,0.4947521,0.04537468
57,0.77653986,0.039601155
58,1.4514353,0.0696275
59,-0.16114771,0.076941766
60,1.1247487,0.064684294
61,0.17595167,0.10360184
62,-0.18917511,0.043520033
63,-0.18673125,0.05056397
64,0.26838115,0.04332405
65,-0.1431976,0.03755965
66,0.68087447,0.037079956
67,-0.24783358,0.107594065
68,-0.16586244,0.03735813
69,-0.13616149,0.037863176
70,0.15966478,0.03771418
71,0.3315675,0.03547474
72,0.16324082,0.04595437
73,-0.018744916,0.036653813
74,0.18044794,0.044238467
75,1.310254,0.04652826
76,0.7501626,0.045415122
77,0.02863162,0.08312273
78,-0.100963004,0.046463627
79,-0.108698785,0.037160132
80,-0.1276426,0.05176592
81,1.1766669,0.04232858
82,-0.20146218,0.03798564
83,1.4907362,0.08306415
84,0.92932826,0.06605533
85,1.5709814,0.17962882
86,-0.002656198,0.075268865
87,0.29197684,0.0423656
88,0.29351586,0.041993372
89,0.53855574,0.036570262
90,0.20266883,0.040703047
91,0.107656285,0.048346903
92,0.32185277,0.051820252
93,0.5692932,0.035036515
94,-0.0012637746,0.05431861
95,-0.124978825,0.04138759
96,0.75775725,0.05028298
97,0.11111566,0.036361873
98,0.0040068263,0.038316227
99,-0.12249158,0.03610389
100,-0.126605,0.06452818
101,0.099772945,0.051259693
102,0.009317247,0.06991133
103,0.037255444,0.03522895
104,1.7496737,0.037659306
105,-0.10833109,0.09435433
106,-0.12449028,0.02872535
107,-0.10297515,0.037141524
108,1.3850241,0.043523118
109,0.33000436,0.041062824
110,0.39372218,0.03502305
111,-0.1405476,0.03519247
112,0.15830413,0.039327614
113,0.565254,0.045735177
114,0.11438583,0.03533839
115,0.32782266,0.052191556
116,-0.019012772,0.07622624
117,1.6182084,0.03526083
118,0.807207,0.035869528
119,-0.28164724,0.08320533
120,-0.085866906,0.044654556
121,0.100151666,0.046621565
122,0.04946705,0.08732978
123,-0.0049568685,0.03400614
124,0.06880251,0.032757837
125,1.105439,0.03725431
126,1.250266,0.03683847
127,0.05565755,0.040445376
128,1.1064829,0.04127641
129,-0.11993612,0.039885964
130,0.27438968,0.03902316
131,0.050629124,0.038194608
132,0.08797543,0.0383721
133,-0.053112518,0.042548638
134,-0.15256982,0.07422956
135,0.24770029,0.054274123
136,0.467185,0.029901529
137,-0.07722166,0.03536923
138,0.12799527,0.042302527
139,-0.0076050702,0.06983974
140,-0.034502372,0.042270873
141,-0.16042164,0.07310861
142,0.654154,0.033479083
143,0.76553655,0.04164159
144,-0.005749824,0.035196383
145,-0.09115273,0.04763778
146,0.200594,0.07375728
147,1.1002439,0.036967263
148,0.32313895,0.041638616
149,-0.19868067,0.04145759
150,-0.11266665,0.0771337
151,0.29121828,0.046326492
